step,epoch,loss,rewards_chosen,rewards_rejected,rewards_accuracies,rewards_margins,grad_norm,learning_rate
340,0.2788,0.008489,-6.067,-16.23,1,10.16,0.001785,4.644e-05
350,0.287,0.006298,-5.998,-16.56,1,10.56,0.003448,4.781e-05
360,0.2952,0.003796,-6.11,-16.94,1,10.82,0.005981,4.918e-05
370,0.3034,0.000803,-6.051,-15.95,1,9.896,0.005463,4.994e-05
380,0.3116,0.0006978,-5.74,-16.18,1,10.44,0.1001,4.979e-05
390,0.3198,0.001376,-5.572,-16.55,1,10.98,0.05957,4.964e-05
400,0.328,0.0006729,-6.173,-17.11,1,10.93,0.009155,4.948e-05
410,0.3362,0.0002419,-6.033,-17.4,1,11.37,0.01129,4.933e-05
420,0.3444,0.001788,-5.782,-17.43,1,11.64,0.01721,4.918e-05
430,0.3526,0.000486,-6.85,-18.4,1,11.55,0.05396,4.903e-05
440,0.3608,0.00127,-6.535,-18.39,1,11.85,0.1865,4.888e-05
450,0.369,0.001298,-6.002,-18.44,1,12.44,0.02087,4.873e-05
460,0.3772,0.0018,-6.45,-18.04,1,11.59,0.003662,4.857e-05
470,0.3854,0.0002174,-5.917,-17.43,1,11.52,0.0009499,4.842e-05
480,0.3936,0.0003372,-6.007,-17.49,1,11.49,0.03638,4.827e-05
490,0.4018,0.002342,-6.048,-17.5,1,11.46,1.883,4.812e-05
500,0.41,0.0002456,-6.045,-17.6,1,11.55,0.00415,4.797e-05
510,0.4182,0.003641,-6.411,-17.97,1,11.56,0.003464,4.781e-05
520,0.4264,0.0002413,-6.287,-18.09,1,11.8,0.03857,4.766e-05
530,0.4346,0.0005393,-6.694,-18.16,1,11.46,0.01508,4.751e-05
540,0.4428,0.004297,-6.67,-19.53,1,12.86,0.004608,4.736e-05
550,0.451,0.0002952,-6.904,-19.4,1,12.49,0.0009613,4.721e-05
560,0.4592,0.0003082,-7.123,-19.21,1,12.09,0.08691,4.706e-05
570,0.4674,0.0005573,-6.659,-19.81,1,13.15,0.000885,4.69e-05
580,0.4756,0.02055,-6.608,-18.27,0.9875,11.66,0.02332,4.675e-05
590,0.4838,0.0003582,-5.705,-17.74,1,12.04,0.00264,4.66e-05
600,0.492,0.0002535,-5.499,-17.78,1,12.28,0.01141,4.645e-05
610,0.5002,0.0008135,-6.192,-17.91,1,11.72,0.01562,4.63e-05
620,0.5084,0.01435,-6.476,-18.81,0.9875,12.33,0.02637,4.615e-05
630,0.5166,0.0002561,-5.859,-17.85,1,11.99,0.003113,4.599e-05
640,0.5248,0.001036,-6.202,-17.49,1,11.28,0.001091,4.584e-05
650,0.533,0.0007968,-7.012,-19.04,1,12.03,0.005554,4.569e-05
660,0.5412,0.0001258,-6.766,-19.52,1,12.76,0.0009346,4.554e-05
670,0.5494,0.0003537,-6.456,-19.78,1,13.32,0.1357,4.539e-05
680,0.5576,0.0003201,-6.776,-19.78,1,13.01,0.001122,4.524e-05
690,0.5658,0.0004055,-7.002,-19.44,1,12.44,0.002426,4.508e-05
700,0.574,0.0007925,-7.182,-19.83,1,12.65,0.0376,4.493e-05
710,0.5822,5.987e-05,-7.571,-21.49,1,13.92,0.002991,4.478e-05
720,0.5904,0.0002588,-8.035,-21.62,1,13.58,0.002563,4.463e-05
730,0.5986,0.03211,-7.364,-21.13,0.9875,13.77,0.1885,4.448e-05
740,0.6068,0.002669,-7.456,-20.05,1,12.6,0.0009575,4.432e-05
750,0.615,0.0001503,-6.948,-20.34,1,13.4,0.00235,4.417e-05
760,0.6232,0.0009465,-6.806,-19.82,1,13.01,0.001587,4.402e-05
770,0.6314,0.000435,-6.341,-19.27,1,12.93,0.01123,4.387e-05
780,0.6396,0.0002144,-6.758,-18.56,1,11.81,0.004517,4.372e-05
790,0.6478,0.0003843,-6.595,-18.45,1,11.86,0.01215,4.357e-05
800,0.656,0.004822,-7.67,-19.06,1,11.39,0.0007858,4.341e-05
810,0.6642,0.0004741,-7.101,-20.06,1,12.96,0.02209,4.326e-05
820,0.6724,0.001072,-7.529,-20.08,1,12.55,0.02734,4.311e-05
830,0.6806,0.0002273,-7.792,-21.11,1,13.31,0.1191,4.296e-05
840,0.6888,0.0002222,-8.23,-21.83,1,13.6,0.02844,4.281e-05
850,0.697,0.0005619,-7.506,-21.55,1,14.04,0.007324,4.266e-05
860,0.7052,5.526e-05,-8.1,-21.91,1,13.81,0.01562,4.25e-05
870,0.7134,4.88e-05,-7.871,-22.25,1,14.38,0.0005531,4.235e-05
880,0.7216,0.0009353,-6.91,-20.89,1,13.98,5.937e-05,4.22e-05
890,0.7298,0.001633,-6,-18.95,1,12.95,0.003677,4.205e-05
900,0.738,0.0003959,-6.363,-19.6,1,13.24,0.0006523,4.19e-05
910,0.7462,0.0005776,-6.782,-19.51,1,12.72,0.1875,4.175e-05
920,0.7544,0.0001483,-6.83,-20.77,1,13.94,0.002533,4.159e-05
930,0.7626,0.001669,-6.979,-20.71,1,13.73,0.001236,4.144e-05
940,0.7708,0.0001077,-7.744,-22.61,1,14.87,0.0008698,4.129e-05
950,0.779,0.0001481,-8.276,-22.98,1,14.71,0.09912,4.114e-05
960,0.7872,0.002711,-8.085,-22.31,1,14.22,0.001144,4.099e-05
970,0.7954,0.0002696,-7.626,-21.91,1,14.29,0.03296,4.083e-05
980,0.8036,7.482e-05,-7.665,-21.8,1,14.14,0.01001,4.068e-05
990,0.8118,0.0005203,-7.452,-21.62,1,14.17,0.05493,4.053e-05
1000,0.82,0.000219,-6.504,-20.45,1,13.94,0.002945,4.038e-05
1010,0.8282,0.0001827,-6.604,-20.23,1,13.62,0.002518,4.023e-05
1020,0.8364,1.397e-05,-6.606,-20.93,1,14.33,0.003937,4.008e-05
1030,0.8446,0.0002392,-6.755,-20.82,1,14.06,0.0177,3.992e-05
1040,0.8528,0.0002083,-6.625,-21.01,1,14.39,0.0004578,3.977e-05
1050,0.861,1.164e-05,-6.513,-21.51,1,15,0.0001936,3.962e-05
1060,0.8692,0.0002979,-7.02,-20.52,1,13.5,0.0354,3.947e-05
1070,0.8774,0.0001139,-7.135,-21.47,1,14.33,0.0001841,3.932e-05
1080,0.8856,3.241e-05,-6.882,-21.4,1,14.52,0.01251,3.917e-05
1090,0.8938,0.0002363,-7.213,-21.47,1,14.26,9.251e-05,3.901e-05
1100,0.902,1.937e-05,-6.676,-21.14,1,14.46,3.719e-05,3.886e-05
1110,0.9102,4.521e-05,-6.306,-21.64,1,15.33,0.0007668,3.871e-05
1120,0.9184,0.0008812,-7.104,-21.35,1,14.24,0.1235,3.856e-05
1130,0.9266,0.0001033,-6.898,-21.39,1,14.49,0.03711,3.841e-05
1140,0.9348,8.611e-05,-6.441,-20.51,1,14.07,0.001099,3.825e-05
1150,0.943,0.000674,-6.609,-20.64,1,14.03,0.6562,3.81e-05
1160,0.9512,0.0001023,-6.868,-20.71,1,13.84,0.01422,3.795e-05
1170,0.9594,0.0004223,-7.095,-21.84,1,14.74,0.003265,3.78e-05
1180,0.9676,9.227e-05,-6.736,-21.56,1,14.83,0.0001802,3.765e-05
1190,0.9758,0.0001177,-7.125,-21.64,1,14.52,0.008057,3.75e-05
1200,0.984,3.835e-05,-7.084,-21.79,1,14.71,0.001137,3.734e-05
1210,0.9922,5.376e-06,-6.569,-21.88,1,15.31,7.391e-06,3.719e-05
1220,1,0.0001325,-6.638,-22.17,1,15.53,0.0003033,3.704e-05
1230,1.008,5.429e-05,-6.877,-21.67,1,14.79,0.000576,3.689e-05
1240,1.016,0.002885,-6.457,-21.37,1,14.91,0.0001583,3.674e-05
1250,1.025,0.0002378,-6.965,-22.27,1,15.31,0.06787,3.659e-05
1260,1.033,0.0006244,-8.13,-21.99,1,13.86,0.001999,3.643e-05
1270,1.041,2.067e-05,-7.263,-22.79,1,15.53,5.752e-06,3.628e-05
1280,1.049,0.002994,-6.954,-21.21,1,14.26,0.001251,3.613e-05
1290,1.057,0.0001068,-6.904,-20.78,1,13.88,0.01135,3.598e-05
1300,1.066,0.0001854,-7.145,-20.79,1,13.65,0.0002232,3.583e-05
1310,1.074,7.957e-05,-6.947,-21.22,1,14.27,0.0005074,3.568e-05
1320,1.082,9.321e-05,-6.957,-20.4,1,13.45,0.01215,3.552e-05
1330,1.09,0.0001103,-7.162,-20.99,1,13.82,0.02722,3.537e-05
1340,1.098,4.713e-05,-6.633,-21.56,1,14.92,0.0007706,3.522e-05
1350,1.107,0.000144,-7.004,-21.68,1,14.68,0.0007858,3.507e-05
1360,1.115,7.291e-05,-7.3,-21.9,1,14.6,0.001511,3.492e-05
1370,1.123,0.0001632,-7.208,-21.46,1,14.25,0.001236,3.476e-05
1380,1.131,1.939e-05,-7.245,-22.25,1,15,0.003906,3.461e-05
1390,1.139,3.65e-05,-7.604,-21.57,1,13.97,0.002563,3.446e-05
1400,1.148,7.805e-05,-6.971,-21.44,1,14.47,0.002411,3.431e-05
1410,1.156,0.0004574,-7.863,-22.15,1,14.29,0.3398,3.416e-05
1420,1.164,3.164e-05,-7.158,-21.58,1,14.42,0.0002499,3.401e-05
1430,1.172,0.0002114,-7.286,-21.64,1,14.35,0.0002804,3.385e-05
1440,1.18,3.252e-05,-7.203,-21.93,1,14.72,0.0004082,3.37e-05
1450,1.189,3.726e-05,-7.137,-22.02,1,14.89,0.0001535,3.355e-05
1460,1.197,0.0004865,-7.313,-20.97,1,13.66,0.09814,3.34e-05
1470,1.205,0.009733,-7.447,-20.06,0.9875,12.62,0.008911,3.325e-05
1480,1.213,0.0005025,-7.126,-20.96,1,13.83,0.06543,3.31e-05
1490,1.221,0.0007067,-7.333,-21.3,1,13.97,0.03076,3.294e-05
1500,1.23,7.939e-05,-7.573,-21.73,1,14.16,0.0002012,3.279e-05
1510,1.238,0.0001274,-8.244,-23.21,1,14.97,0.004333,3.264e-05
1520,1.246,0.0009136,-8.658,-24.11,1,15.45,0.04517,3.249e-05
1530,1.254,2.73e-05,-8.266,-24.33,1,16.07,8.678e-05,3.234e-05
1540,1.262,0.0001083,-8.606,-23.68,1,15.08,2.015e-05,3.219e-05
1550,1.271,2.805e-05,-9.612,-24.33,1,14.72,0.000164,3.203e-05
1560,1.279,2.803e-05,-8.858,-24.31,1,15.45,0.0001025,3.188e-05
1570,1.287,8.605e-05,-9.084,-24.07,1,14.98,3.29e-05,3.173e-05
1580,1.295,0.0001628,-9.393,-24.23,1,14.84,0.009338,3.158e-05
1590,1.303,0.0002364,-9.168,-23.79,1,14.62,0.0003414,3.143e-05
1600,1.312,7.74e-05,-8.661,-23.87,1,15.21,0.0002375,3.127e-05
1610,1.32,0.0002804,-9.052,-24.13,1,15.07,0.00322,3.112e-05
1620,1.328,9.85e-05,-8.957,-24,1,15.04,0.001404,3.097e-05
1630,1.336,6.989e-05,-8.433,-23.96,1,15.53,0.000102,3.082e-05
1640,1.344,7.004e-06,-8.886,-24.46,1,15.58,0.0007515,3.067e-05
1650,1.353,3.87e-05,-8.446,-24.47,1,16.03,0.002502,3.052e-05
1660,1.361,7.874e-05,-8.561,-24.09,1,15.53,0.0001545,3.036e-05
1670,1.369,4.874e-05,-8.65,-24.33,1,15.68,0.004791,3.021e-05
1680,1.377,2.581e-05,-8.699,-24.78,1,16.08,0.001335,3.006e-05
1690,1.385,4.916e-05,-8.272,-24.31,1,16.04,4.387e-05,2.991e-05
1700,1.394,5.033e-05,-8.727,-23.98,1,15.25,0.0008049,2.976e-05
1710,1.402,0.0003091,-8.17,-24.01,1,15.84,0.0001879,2.961e-05
1720,1.41,5.252e-05,-8.703,-23.93,1,15.23,0.003906,2.945e-05
1730,1.418,9.416e-05,-8.033,-23.06,1,15.02,0.000679,2.93e-05
1740,1.426,0.0001179,-8.061,-22.75,1,14.68,0.03345,2.915e-05
1750,1.435,0.00115,-7.793,-22.77,1,14.97,0.2715,2.9e-05
1760,1.443,6.543e-05,-8.47,-23.77,1,15.3,0.05225,2.885e-05
1770,1.451,5.199e-05,-9.125,-24.49,1,15.37,0.0332,2.869e-05
1780,1.459,3.704e-05,-8.816,-24.29,1,15.48,0.001152,2.854e-05
1790,1.467,9.637e-06,-8.519,-24.25,1,15.73,0.0004044,2.839e-05
1800,1.476,0.0003765,-8.903,-24.38,1,15.48,0.0004711,2.824e-05
1810,1.484,0.001065,-8.412,-24.54,1,16.13,0.00264,2.809e-05
1820,1.492,3.256e-05,-7.988,-22.4,1,14.41,0.00135,2.794e-05
1830,1.5,9.311e-05,-7.892,-22.97,1,15.07,0.0002594,2.778e-05
1840,1.508,0.0001084,-7.654,-22.03,1,14.38,0.01062,2.763e-05
1850,1.517,3.513e-05,-7.152,-21.92,1,14.77,0.0003204,2.748e-05
1860,1.525,9.323e-05,-8.036,-22.81,1,14.77,0.002396,2.733e-05
1870,1.533,0.000217,-7.032,-22.54,1,15.5,0.01239,2.718e-05
1880,1.541,0.0004137,-7.329,-22.08,1,14.75,0.0009308,2.703e-05
1890,1.549,9.165e-06,-7.229,-21.97,1,14.74,0.001793,2.687e-05
1900,1.558,2.638e-05,-7.09,-21.51,1,14.42,0.00473,2.672e-05
1910,1.566,3.059e-05,-7.148,-21.43,1,14.28,0.000267,2.657e-05
1920,1.574,3.903e-05,-7.146,-21.78,1,14.64,0.007233,2.642e-05
1930,1.582,0.0002352,-7.409,-21.76,1,14.35,0.001663,2.627e-05
1940,1.59,2.815e-05,-7.164,-22.23,1,15.06,0.0004673,2.612e-05
1950,1.599,5.391e-05,-7.593,-22.3,1,14.71,0.000618,2.596e-05
1960,1.607,0.0001748,-7.035,-21.55,1,14.52,0.0001822,2.581e-05
1970,1.615,8.379e-05,-7.406,-21.93,1,14.53,0.0003185,2.566e-05
1980,1.623,5.619e-05,-7.045,-22.08,1,15.04,0.0001373,2.551e-05
1990,1.631,6.055e-05,-7.51,-21.83,1,14.32,0.002975,2.536e-05
2000,1.64,0.0002988,-7.5,-22.09,1,14.59,0.02271,2.52e-05
2010,1.648,0.0001412,-7.072,-21.94,1,14.87,0.004547,2.505e-05
2020,1.656,2.695e-05,-6.745,-22.2,1,15.45,0.003998,2.49e-05
2030,1.664,1.914e-05,-7.32,-22.49,1,15.17,8.202e-05,2.475e-05
2040,1.672,3.614e-05,-7.42,-22.45,1,15.03,0.0004501,2.46e-05
2050,1.681,5.93e-05,-7.48,-22.25,1,14.77,0.000123,2.445e-05
2060,1.689,4.808e-05,-7.378,-22.62,1,15.24,4.84e-05,2.429e-05
2070,1.697,7.353e-05,-6.701,-22.45,1,15.75,0.0002537,2.414e-05
2080,1.705,5.508e-05,-7.535,-22.88,1,15.34,0.002731,2.399e-05
2090,1.713,2.437e-05,-7.068,-22.93,1,15.86,0.001297,2.384e-05
2100,1.722,2.154e-05,-7.504,-22.84,1,15.34,0.00267,2.369e-05
2110,1.73,3.897e-05,-7.217,-22.64,1,15.42,5.555e-05,2.354e-05
2120,1.738,0.0008189,-7.419,-22.81,1,15.39,0.1182,2.338e-05
2130,1.746,5.085e-05,-7.294,-22.77,1,15.48,0.005005,2.323e-05
2140,1.754,7.124e-06,-6.556,-23.32,1,16.77,0.000185,2.308e-05
2150,1.763,2.082e-05,-7.405,-22.56,1,15.16,0.001297,2.293e-05
2160,1.771,1.419e-05,-7.6,-22.98,1,15.38,0.000452,2.278e-05
2170,1.779,0.0005042,-7.373,-22.87,1,15.5,0.418,2.263e-05
2180,1.787,2.779e-05,-7.312,-23.08,1,15.77,0.0006142,2.247e-05
2190,1.795,1.251e-05,-7.715,-23.19,1,15.47,0.001579,2.232e-05
2200,1.804,1.362e-05,-7.468,-23.72,1,16.25,0.005768,2.217e-05
2210,1.812,7.458e-06,-7.511,-23.16,1,15.65,0.001602,2.202e-05
2220,1.82,6.516e-05,-8.061,-23.02,1,14.96,0.001129,2.187e-05
2230,1.828,0.001916,-8.045,-24.08,1,16.03,0.0001125,2.171e-05
2240,1.836,6.981e-05,-9.14,-25.97,1,16.83,2.48e-05,2.156e-05
2250,1.845,1.343e-05,-9.736,-25.7,1,15.97,0.003387,2.141e-05
2260,1.853,0.0007572,-9.495,-26,1,16.51,1.001e-05,2.126e-05
2270,1.861,1.373e-05,-8.947,-26.35,1,17.41,0.001564,2.111e-05
2280,1.869,1.43e-05,-9.129,-27.09,1,17.97,1.2e-06,2.096e-05
2290,1.877,6.599e-06,-8.989,-26.47,1,17.48,0.0005074,2.08e-05
2300,1.886,6.247e-06,-8.992,-26.78,1,17.79,0.0002136,2.065e-05
2310,1.894,1.338e-06,-8.541,-26.65,1,18.11,7.868e-06,2.05e-05
2320,1.902,1.115e-05,-9.173,-27.07,1,17.89,0.0004196,2.035e-05
2330,1.91,5.56e-05,-9.905,-26.47,1,16.57,0.006836,2.02e-05
2340,1.918,0.0001499,-9.455,-26.27,1,16.81,0.0008926,2.005e-05
2350,1.927,5.089e-05,-8.987,-26.59,1,17.61,0.0005341,1.989e-05
2360,1.935,0.0002374,-8.63,-25.79,1,17.17,8.297e-05,1.974e-05
2370,1.943,0.000387,-9.645,-27.42,1,17.77,0.0001016,1.959e-05
2380,1.951,1.33e-05,-9.733,-27.16,1,17.42,8.535e-05,1.944e-05
2390,1.959,2.274e-05,-10.27,-28.47,1,18.2,3.147e-05,1.929e-05
2400,1.968,0.0005348,-9.935,-26.81,1,16.87,0.0003204,1.914e-05
2410,1.976,3.627e-06,-8.64,-26.01,1,17.37,0.003906,1.898e-05
2420,1.984,8.714e-05,-8.424,-25.76,1,17.34,6.247e-05,1.883e-05
2430,1.992,1.04e-05,-8.353,-26.26,1,17.91,0.0002184,1.868e-05
2440,2,7.7e-06,-9.134,-26.37,1,17.23,7.868e-06,1.853e-05
2450,2.008,1.852e-06,-8.772,-26.22,1,17.44,0.0002918,1.838e-05
2460,2.016,2.675e-05,-9.298,-26.43,1,17.14,0.002472,1.822e-05
2470,2.025,3.058e-06,-8.308,-26.4,1,18.1,7.242e-06,1.807e-05
2480,2.033,1.346e-06,-8.746,-26.15,1,17.41,3.576e-05,1.792e-05
2490,2.041,5.794e-06,-8.107,-26.49,1,18.39,0.0002728,1.777e-05
2500,2.049,4.412e-05,-8.789,-26.15,1,17.36,0.002197,1.762e-05
2510,2.057,2.581e-06,-8.452,-26.55,1,18.1,1.597e-05,1.747e-05
2520,2.066,9.543e-06,-8.767,-26.35,1,17.58,0.002396,1.731e-05
2530,2.074,1.371e-05,-8.556,-26.02,1,17.46,0.0001507,1.716e-05
2540,2.082,5.871e-05,-8.609,-26.12,1,17.51,0.0001955,1.701e-05
2550,2.09,9.484e-05,-8.74,-25.59,1,16.85,0.0009766,1.686e-05
2560,2.098,1.375e-05,-8.404,-25.82,1,17.41,3.052e-05,1.671e-05
2570,2.107,1.676e-05,-8.512,-26.38,1,17.87,7.296e-05,1.656e-05
2580,2.115,0.0001678,-8.736,-25.63,1,16.89,0.0166,1.64e-05
2590,2.123,1.004e-05,-9.205,-26.44,1,17.24,9.441e-05,1.625e-05
2600,2.131,1.681e-05,-8.784,-26.71,1,17.92,1.079e-05,1.61e-05
2610,2.139,1.433e-06,-8.6,-27.11,1,18.51,2.027e-05,1.595e-05
2620,2.148,2.778e-06,-8.45,-26.48,1,18.03,1.162e-05,1.58e-05
2630,2.156,7.844e-05,-8.519,-26.05,1,17.53,3.839e-05,1.564e-05
2640,2.164,2.16e-06,-8.534,-26.72,1,18.19,4.351e-06,1.549e-05
2650,2.172,2.722e-05,-8.436,-25.83,1,17.4,0.0003109,1.534e-05
2660,2.18,4.449e-06,-8.557,-26.3,1,17.74,0.0005379,1.519e-05
2670,2.189,5.206e-05,-8.64,-25.99,1,17.35,0.0001879,1.504e-05
2680,2.197,2.086e-06,-8.926,-26.28,1,17.35,0.0002184,1.489e-05
2690,2.205,3.991e-06,-8.834,-26.09,1,17.26,2.897e-05,1.473e-05
2700,2.213,0.001501,-8.674,-25.37,1,16.69,0.2158,1.458e-05
2710,2.221,0.0004253,-8.172,-24.45,1,16.28,0.001869,1.443e-05
2720,2.23,0.0004237,-8.765,-23.97,1,15.2,0.4883,1.428e-05
2730,2.238,5.029e-06,-8.375,-25.21,1,16.84,0.0003567,1.413e-05
2740,2.246,1.376e-05,-8.432,-25.73,1,17.3,0.008362,1.398e-05
2750,2.254,4.35e-06,-8.211,-25.87,1,17.66,0.002869,1.382e-05
2760,2.262,3.076e-05,-8.893,-25.17,1,16.28,0.0002117,1.367e-05
2770,2.271,1.529e-05,-8.251,-25.59,1,17.33,7.2e-05,1.352e-05
2780,2.279,3.599e-05,-8.869,-26.38,1,17.51,2.623e-05,1.337e-05
2790,2.287,2.769e-05,-8.876,-25.45,1,16.57,0.0001593,1.322e-05
2800,2.295,3.629e-05,-8.707,-25.95,1,17.25,0.0003166,1.307e-05
2810,2.303,1.415e-05,-8.355,-25.21,1,16.85,0.007538,1.291e-05
2820,2.312,2.988e-05,-8.425,-25.73,1,17.31,0.0001945,1.276e-05
2830,2.32,1.747e-05,-8.204,-25.29,1,17.09,1.001e-05,1.261e-05
2840,2.328,4.396e-05,-8.468,-25.37,1,16.9,0.000165,1.246e-05
2850,2.336,8.673e-06,-8.339,-25.88,1,17.54,0.0004578,1.231e-05
2860,2.344,1.052e-05,-9.023,-25.91,1,16.89,9.298e-05,1.215e-05
2870,2.353,5.611e-06,-8.328,-25.61,1,17.29,0.0004578,1.2e-05
2880,2.361,7.878e-06,-8.911,-25.85,1,16.94,2.182e-05,1.185e-05
2890,2.369,5.484e-05,-9.241,-25.67,1,16.43,0.01007,1.17e-05
2900,2.377,6.538e-05,-8.993,-25.59,1,16.6,5.436e-05,1.155e-05
2910,2.385,3.135e-06,-8.454,-25.36,1,16.9,0.0003414,1.14e-05
2920,2.394,1.96e-05,-9.059,-26.04,1,16.98,0.006683,1.124e-05
2930,2.402,1.254e-05,-8.259,-25.17,1,16.91,0.0003777,1.109e-05
2940,2.41,3.538e-05,-9.037,-25.96,1,16.92,5.412e-05,1.094e-05
2950,2.418,2.153e-05,-8.812,-25.35,1,16.53,1.18e-05,1.079e-05
2960,2.426,4.401e-06,-8.229,-25.66,1,17.43,0.002472,1.064e-05
2970,2.435,1.939e-06,-8.422,-25.83,1,17.41,5.543e-06,1.049e-05
2980,2.443,3.192e-05,-8.465,-25.65,1,17.19,0.02209,1.033e-05
2990,2.451,9.384e-06,-8.524,-25.97,1,17.44,0.0001101,1.018e-05
3000,2.459,6.64e-06,-8.102,-25.78,1,17.68,6.974e-06,1.003e-05
3010,2.467,1.258e-06,-8.091,-26.41,1,18.32,7.2e-05,9.879e-06
3020,2.476,2.843e-05,-8.235,-26.28,1,18.04,7.963e-05,9.727e-06
3030,2.484,2.217e-06,-8.321,-25.68,1,17.36,0.0001025,9.575e-06
3040,2.492,9.306e-06,-8.337,-25.52,1,17.18,0.0001621,9.423e-06
3050,2.5,5.265e-06,-8.27,-25.91,1,17.64,0.0004559,9.272e-06
3060,2.508,0.0001114,-8.566,-25.91,1,17.34,0.0002766,9.12e-06
3070,2.517,4.536e-05,-8.69,-25.98,1,17.29,5.245e-05,8.968e-06
3080,2.525,8.82e-06,-8.655,-25.52,1,16.86,0.002136,8.816e-06
3090,2.533,2.913e-05,-7.87,-25.28,1,17.41,4.828e-06,8.665e-06
3100,2.541,2.393e-05,-8.838,-25.42,1,16.59,0.0005302,8.513e-06
3110,2.549,2.863e-05,-8.358,-25.98,1,17.62,9.656e-06,8.361e-06
3120,2.558,8.502e-06,-8.607,-26.22,1,17.61,1.693e-05,8.209e-06
3130,2.566,8.67e-06,-8.317,-25.78,1,17.47,0.00174,8.058e-06
3140,2.574,2.069e-05,-8.465,-25.38,1,16.91,0.001022,7.906e-06
3150,2.582,6.318e-05,-8.7,-25.14,1,16.44,0.008484,7.754e-06
3160,2.59,4.775e-06,-8.642,-26.1,1,17.46,0.002655,7.602e-06
3170,2.599,1.109e-05,-8.741,-25.97,1,17.23,6.139e-06,7.451e-06
3180,2.607,3.222e-06,-8.879,-25.6,1,16.72,0.0003147,7.299e-06
3190,2.615,5.1e-06,-8.289,-25.55,1,17.27,0.0001783,7.147e-06
3200,2.623,2.272e-05,-8.922,-25.75,1,16.82,0.004211,6.995e-06
3210,2.631,0.0001252,-8.218,-25.46,1,17.24,7.486e-05,6.844e-06
3220,2.64,2.147e-05,-9.061,-25.76,1,16.7,4.196e-05,6.692e-06
3230,2.648,6.806e-06,-9.219,-25.94,1,16.72,0.003876,6.54e-06
3240,2.656,5.585e-05,-9.023,-25.41,1,16.38,0.001289,6.388e-06
3250,2.664,2.1e-05,-8.705,-26.23,1,17.53,0.0004406,6.237e-06
3260,2.672,9.479e-06,-8.967,-25.69,1,16.72,0.0002594,6.085e-06
3270,2.681,4.139e-06,-7.469,-25.48,1,18.01,7.439e-05,5.933e-06
3280,2.689,1.049e-05,-8.429,-25.7,1,17.27,8.631e-05,5.781e-06
3290,2.697,3.132e-05,-8.628,-26.14,1,17.51,0.0008507,5.63e-06
3300,2.705,3.833e-05,-8.48,-25.53,1,17.05,0.0004292,5.478e-06
